parameters,error_inf,error_2
"[1.0, 1.0]",0.05953282797734538,0.5160339870724256
"[7.0, 0.7]",0.006003722548484802,0.031475761605823493
"[5.0, 0.0]",0.0020090192556381226,0.04098787174898292
"[3.0, -0.5]",0.006966655825413767,0.09427491606719264
"[0.1, 1.0]",4.905620488994388,56.70736543178774
"[0.1, -1.0]",4.955141219966678,57.45185002608951
"[10.0, -1.0]",0.0058472007513046265,0.05230598388600992
"[10.0, -1.0]",0.0058472007513046265,0.05230598388600992
"[0.5, 0.5]",0.09686881953947946,1.4668814315123453
"[6.0, -0.7]",0.00485887713263819,0.0882372574102145
