iterations,error_inf,error_2
1000,0.039274945855140686,0.662341028129468
1000,0.039274945855140686,0.662341028129468
2000,0.057942867279052734,0.6325716616561291
2000,0.057942867279052734,0.6325716616561291
5000,0.03483053296804428,0.49758028333546495
5000,0.03483053296804428,0.49758028333546495
8000,0.029931187629699707,0.374963968986507
8000,0.029931187629699707,0.374963968986507
10000,0.060093462467193604,0.48477042130122117
10000,0.060093462467193604,0.48477042130122117
20000,0.030853480100631714,0.17167627902448215
20000,0.030853480100631714,0.17167627902448215
