iterations,error_inf,error_2,error_semi_H1
1000,0.06355428127326149,0.04964565090451068,0.32683463727340767
1000,0.06355428127326149,0.04964565090451068,0.32683463727340767
2000,0.09710314869880676,0.03942022371520635,0.33714644412590966
2000,0.09710314869880676,0.03942022371520635,0.33714644412590966
5000,0.035066038370132446,0.01937013729623901,0.17792383679358503
5000,0.035066038370132446,0.01937013729623901,0.17792383679358503
8000,0.053796980530023575,0.01674997741211564,0.22948771716597974
8000,0.053796980530023575,0.01674997741211564,0.22948771716597974
10000,0.040765538811683655,0.01843420805968983,0.22397329377473776
10000,0.040765538811683655,0.01843420805968983,0.22397329377473776
20000,0.01693907380104065,0.002522784053176266,0.03980206386473227
20000,0.01693907380104065,0.002522784053176266,0.03980206386473227
