parameters,error_inf,error_2,error_H1
"[1, 1]",5.380472456462115e-09,2.5058680867606364e-09,1.9330985131870428e-08
"[7, 0.7]",8.250039540413923e-12,3.873411837375946e-12,2.9769404498927095e-11
"[5, 0]",0.0,0.0,0.0
"[3, -0.5]",4.65695607076988e-11,2.1825106824389937e-11,1.6788245834678157e-10
"[0.1, 1]",7.994811138134494e-05,3.4730660947136595e-05,0.0002703593703549294
"[0.1, -1]",7.994811138134494e-05,3.4730660947136595e-05,0.0002703593703549294
"[10, -1]",4.702314926330331e-13,2.208577422488696e-13,1.6963397243400693e-12
"[0.5, 0.5]",1.873679766895009e-09,8.646898468414909e-10,6.695216937166058e-09
"[6, -0.7]",1.1750548450928378e-11,5.515688916770845e-12,4.2395487161116795e-11
